net_id,minlat_id,maxlat_id,minlon_id,maxlon_id,maxkmNS,maxkmEW,min_cut_lat,min_cut_lon,maxlon_dist,maxlat_dist,latavg,lonavg
135,83454,113296,28207,65775,33.3215659,21.6265623,11,1,0.273452736,0.301350823,44.72836746,-74.24753696
136,473931,473601,473601,474174,101.5683874,61.89121032,18,18,0.714152058,0.918555785,38.87499385,-122.9982661
137,481798,481696,481696,481703,8.830642042,14.02819521,1,2,0.156666088,0.07986183,36.45058393,-121.7335906
138,73682,34208,34208,82095,4.134341003,1.128273566,1,1,0.013373475,0.037389811,40.72257538,-73.33581934
139,45035,73961,81320,49174,194.8406151,284.1507629,13,13,3.497993232,1.762083448,43.13229587,-76.74337931
140,456142,456022,455818,455970,120.0043929,96.97160623,1,1,1.147618288,1.085285807,40.61815615,-111.9245518
141,19538,79020,69586,59298,4.042661396,19.40612697,1,1,0.230626878,0.036560687,40.8969152,-72.78097184
142,46842,141223,66557,81075,19.80638929,23.10758433,8,1,0.27106396,0.179123386,40.02235526,-74.37507678
143,135175,40573,135175,121436,3.995688714,0.4820196,1,1,0.005731096,0.036135879,40.92767383,-72.29070996
144,311,110009,97751,50044,18.10838471,20.13084535,12,12,0.267609938,0.163767113,47.48725134,-91.26769255
145,470146,470085,470085,470083,72.48363013,148.1923709,10,1,1.832797119,0.655521462,43.41830691,-123.6354735
146,28083,94727,117309,94727,23.79281709,45.50986432,8,8,0.5461089,0.215175512,41.52985931,-87.10803935
147,196210,193550,193550,201331,47.73852153,41.904506,1,1,0.417650997,0.431733694,25.6686571,-81.16204094
148,142723,142991,142983,142723,51.42283831,44.501004,2,8,0.516437697,0.465053614,39.27904475,-76.68042057
149,50212,258777,50212,258777,2.11239027,1.627594513,1,1,0.019534409,0.01910386,41.54193421,-82.83694858
150,14606,6511,84504,17656,30.81995048,53.54233942,25,1,0.652381119,0.27872692,42.50072922,-78.51141647
151,445926,444022,445850,445926,50.63171903,49.86184886,2,1,0.505724687,0.457898955,27.6630506,-98.02080235
152,79916,110876,110876,79916,7.65416519,5.794341759,1,1,0.073663245,0.069222106,45.03993844,-67.26387418
153,68708,140120,14516,138077,85.75847683,139.4700206,1,1,1.696191389,0.775575423,42.38297939,-85.24956352
154,70480,46688,63295,27833,29.65320004,9.639286929,1,9,0.125822023,0.268175159,46.51190663,-67.90170295
155,94532,87303,87303,94532,0.226640036,0.785720295,1,1,0.009423042,0.002049668,41.49262247,-71.25875819
156,74647,19491,140355,9435,25.88630656,9.580358354,1,1,0.11524647,0.234108439,41.68922579,-71.10593418
157,481459,480633,481459,480636,0.243852295,1.1737963,1,1,0.013224773,0.002205331,37.12494829,-122.3232802
158,198911,195190,201466,196439,2.142567742,6.627097771,1,1,0.066065165,0.019376777,25.69513893,-80.42502775
159,113058,25943,55156,31123,2.08710272,0.778738792,1,1,0.00923429,0.018875167,40.75042798,-73.15583827
160,310908,311352,311928,316103,122.7284339,265.9176753,1,1,3.626102872,1.109921265,48.78888893,-100.4130539
161,195504,193054,193054,200686,131.6472509,9.251901448,2,5,0.093207575,1.190580524,26.91499352,-80.15806831
162,13258,32127,116103,125585,16.21478937,15.9473722,1,1,0.1932846,0.146641972,42.16839652,-71.13648181
163,78969,63391,78969,63391,3.144943305,1.179999189,1,1,0.014088169,0.028441978,41.20021854,-73.14801389
164,134063,88497,92611,3103,18.81060337,18.90261638,1,1,0.252469633,0.17011778,47.73375917,-90.70052831
165,441155,440510,440462,442026,112.3077066,70.77754451,19,19,0.729536321,1.015679153,29.36407704,-96.78119658
166,145341,144385,146170,147793,143.1610374,182.2184702,1,1,2.077967598,1.294707955,38.02374822,-77.23828254
167,330657,331211,330657,331211,1.683190737,0.686602545,1,1,0.009317379,0.015222301,48.5494646,-103.1107162
168,110984,64470,51005,126832,72.12353377,59.7722616,1,1,0.705627018,0.652264852,40.45224199,-74.55480759
169,85341,139133,34306,132964,43.10441688,55.06850849,15,1,0.719227173,0.389824162,46.54312048,-85.21148216
170,64981,749,64981,749,4.61541573,4.480532026,1,1,0.057692153,0.041740515,45.76071516,-95.39229734
171,69709,4872,69709,4332,8.453078963,2.274922299,1,2,0.028560967,0.076447257,44.31407821,-87.72754896
172,204859,205986,204859,205986,0.683715369,0.263014798,1,1,0.002649544,0.006183329,26.90738352,-82.24191527
173,142854,142676,142565,92564,27.93006874,23.81448296,1,15,0.277256245,0.252591647,39.50276458,-75.91501078
174,482653,482668,482653,482668,8.477599009,3.087784047,1,1,0.036687215,0.076669009,40.88120649,-120.7734436
175,91660,13498,2155,25091,20.31467178,22.3522991,1,1,0.277869407,0.183720149,43.7287153,-86.2954322
176,314702,316566,314702,316566,3.034996216,0.068092285,1,1,0.000915779,0.027447648,48.09190019,-99.77859086
177,40773,49068,4134,1513,96.62927275,119.9849994,1,1,1.509769222,0.873887828,44.44500055,-85.25758033
178,70545,121371,70545,121371,8.40401352,4.131311019,1,1,0.049792571,0.076003523,41.8120279,-70.64022033
179,462358,461913,461165,461913,20.30137159,5.061846592,1,1,0.066032401,0.183599866,46.47889834,-119.0705694
180,4157,15417,117249,184,16.18677741,15.75585879,1,6,0.209809631,0.146388639,47.57699553,-91.1433064
181,106963,126742,126742,106963,0.058061071,0.572454461,1,1,0.007504046,0.000525088,46.74159684,-88.89940422
182,96696,54273,96696,688,11.68797217,12.2042893,1,1,0.159792694,0.105702716,46.6781936,-85.17906158
183,89650,62526,89650,62526,0.999730368,0.311019382,1,1,0.003933118,0.009041279,44.73568971,-86.06305118
184,149060,142978,142923,142180,86.65254753,72.41388137,14,1,0.834171512,0.783661146,38.75550871,-75.85049703
185,97606,133106,133106,131054,15.75213389,10.36444673,1,1,0.124043757,0.142457846,41.35889877,-72.51857815
186,69521,12227,121392,69521,0.557074951,1.467756213,1,1,0.01765851,0.005038028,41.69726624,-69.96900102
187,146612,145380,145378,146017,9.005019309,11.01051522,17,1,0.123605386,0.081438849,36.85070327,-76.10285174
188,140270,89482,100688,103766,39.38981251,44.89616052,1,1,0.524956325,0.35623033,39.80096251,-74.53497622
189,477821,477904,477997,477748,141.7070558,58.89665493,1,2,0.653901079,1.281558557,35.99082233,-118.5970224
190,66470,130019,92449,130019,10.30078074,4.491061194,1,3,0.054490329,0.093157349,42.23567286,-70.86406492
191,471612,472005,472367,470589,23.91361501,16.88417832,1,1,0.229635987,0.216267974,48.66243449,-122.2930602
192,250109,250524,250524,249707,30.58532275,32.53805219,25,25,0.339931709,0.276605013,30.69889212,-89.24611498
193,7795,7695,7795,7814,1.874709392,3.917287181,1,1,0.047019894,0.016954342,41.54821065,-71.4854115
194,18679,140067,2903,6354,57.81772159,63.96717443,1,1,0.810779628,0.522887131,44.86777623,-83.72118385
195,123562,65502,102717,68597,8.966184029,18.51909676,4,1,0.217763476,0.081087634,40.18652995,-74.14696964
196,235106,233359,233338,235130,61.81022149,39.07176852,15,15,0.408148267,0.558994171,30.68882174,-87.47337833
197,482466,482375,482466,482375,0.221394845,3.540989059,1,1,0.037979233,0.002002232,33.11841748,-117.2268462
198,120319,6855,6855,120319,6.97010675,4.432603428,1,1,0.053050851,0.063035675,41.35960641,-72.22477759
199,78160,83421,50228,33395,67.31032614,53.98918635,1,2,0.647311191,0.608735563,41.47503762,-81.23811092
200,84340,62429,105948,20702,22.54564444,66.21244132,1,1,0.889652822,0.203896435,48.04280941,-90.06670314
201,134178,37339,55120,79983,36.93947122,17.49079716,1,1,0.210026835,0.334070136,41.57333554,-72.87048461
202,16387,3969,3969,65516,42.08194581,29.01185699,4,4,0.337921973,0.380577223,39.53485411,-74.86540713
203,424392,427082,427082,425481,0.726275931,1.921168389,1,1,0.019849168,0.006568234,29.60351358,-94.70342354
204,21637,64406,117176,74678,20.29353125,8.794940122,4,1,0.104979283,0.18352896,41.18481945,-73.46091044
205,121689,6667,53406,130737,30.48300014,34.88919669,1,1,0.429825085,0.275679637,43.1831868,-78.24992496
206,213055,216041,213055,216041,0.816250808,0.444404754,2,2,0.004587496,0.007381942,29.5151436,-83.35928805
207,17689,38694,117423,30342,52.00166975,44.13213679,44,1,0.556171929,0.470288402,44.53576046,-74.57757666
208,69538,87330,87330,69538,0.568971972,0.344079729,1,1,0.004114024,0.005145622,41.29573151,-72.52793897
209,120282,68475,21576,120282,14.44247439,20.54816482,6,1,0.254391681,0.130613656,43.48096324,-70.7072948
210,357086,357370,357370,355665,3.455878841,4.21483369,1,1,0.05364934,0.031253991,45.1106252,-97.31496355
211,481926,482276,481926,482310,21.18174024,68.24425946,6,1,0.73311082,0.191561671,33.25578086,-117.2871529
212,11370,54276,97778,22893,16.51413415,44.03263794,1,1,0.57586133,0.149349161,46.61565433,-87.80912831
213,7781,27862,7638,21572,5.183922958,8.281477528,4,1,0.102023764,0.046881934,43.18222797,-70.70730004
214,16257,139344,70505,8245,55.27477731,17.14150663,1,1,0.215066567,0.499889461,44.2758725,-69.23694847
215,142544,142782,142695,142544,31.34711002,46.54278322,1,1,0.541551915,0.283494402,39.4622623,-76.51853252
216,4786,103836,103836,68652,22.77915325,9.183288487,2,3,0.120218266,0.206008223,46.66921378,-91.46099298
217,203226,205481,205481,203226,0.357781762,0.297511678,1,1,0.003051951,0.003235677,28.87209926,-82.62704161
218,116104,137200,116104,137200,2.184320203,0.006145089,1,1,7.39E-05,0.019754374,41.66178603,-70.41553002
219,709,38330,38330,8184,4.033065276,1.506552201,1,1,0.018930305,0.036473902,44.36363649,-68.36418755
220,136075,12402,12402,3514,9.428118656,17.88135415,5,1,0.237028505,0.08526524,47.33688464,-91.50812723
221,152036,150151,152021,152042,31.03724039,22.1754507,1,9,0.248559669,0.280692029,36.73222167,-76.09461634
222,482045,482415,481962,482313,30.56702613,24.06758949,1,1,0.256965916,0.276439544,32.71514424,-116.4685625
223,317062,317087,316922,317087,11.57250818,9.324289673,2,1,0.127422745,0.104658493,48.90180741,-113.737443
224,136948,3281,111152,29150,32.5306375,21.71202335,1,1,0.264325433,0.29419789,42.44820505,-86.15374359
225,74686,95548,15313,28954,23.32527452,15.93939257,1,1,0.190571315,0.210947189,41.29242173,-73.42152877
226,8486,8467,8467,7570,7.648734113,9.195298788,2,1,0.115501192,0.069172989,44.34301352,-69.09608782
227,481009,480728,480727,481012,54.89358705,34.48187901,13,13,0.3954248,0.496442084,38.4316211,-122.4369629
228,150964,150946,152961,150946,5.962157961,32.86252489,2,2,0.363376148,0.053920071,35.66824716,-75.98957094
229,309763,309764,309763,309764,0.461546901,0.543635568,1,1,0.005604653,0.0041741,29.38519618,-90.06420388
230,32168,84202,19511,79971,14.15756665,6.891401582,1,1,0.082188728,0.128037031,41.12957908,-73.67277055
231,140292,107871,140292,107871,1.254636277,0.23784228,1,1,0.002829698,0.011346576,40.9699579,-72.29346333
232,482165,481895,481895,482170,52.23358891,55.95312061,9,9,0.607466073,0.472385813,34.16427706,-118.124608
233,894,4972,894,4562,36.80440918,43.0378943,6,1,0.544091101,0.332848673,44.71840642,-72.30515417
234,218796,216535,216523,216882,53.60447205,43.87152722,3,1,0.458380875,0.484783693,30.7085503,-83.73061683
235,4425,26036,30169,10337,54.60349984,70.10200491,1,1,0.912791394,0.493818618,46.37730947,-89.30567631
236,481782,481699,481699,481782,189.1563631,153.0131887,7,7,1.699584384,1.710676679,36.02490448,-120.8934376
237,455768,456182,455880,455768,106.2251786,155.6588097,1,1,1.859200775,0.960670488,41.22604628,-112.0187682
238,351707,354478,354458,354478,6.953656371,6.814567196,1,1,0.087581385,0.062886903,45.65599438,-97.2326303
239,57208,137116,140259,43787,13.26401915,16.19438977,1,1,0.190210212,0.11995604,40.1089574,-74.23554859
240,210099,206558,211001,204251,124.878897,49.9646861,15,1,0.504593337,1.129369445,27.18828788,-81.73441007
241,97651,25942,25942,97651,3.555250969,0.391907755,1,1,0.004642093,0.032152685,40.6765781,-73.57202621
242,98803,2635,37480,2635,19.56768349,8.219624611,1,3,0.107083982,0.176964598,46.40669154,-89.96569292
243,82185,23961,1179,4905,36.35925274,17.78324622,1,4,0.231650307,0.328822804,46.40030846,-90.26930029
244,60463,34408,708,257921,70.11863481,67.84125717,1,1,0.867859117,0.634133113,45.39430602,-84.66836885
245,3454,123623,3454,123623,7.277711736,6.256688433,1,1,0.082912061,0.065817568,47.32145841,-88.22076066
246,32392,13519,13519,32392,18.02068905,25.78256015,1,1,0.320627065,0.162974018,43.7501587,-84.09188337
247,108802,15254,141478,15254,6.285894778,11.05279912,5,5,0.137046525,0.056847856,43.57346569,-70.36673888
248,236104,234502,233820,234502,20.58375687,37.30041783,5,5,0.388943984,0.186153679,30.51449706,-85.52169908
249,51996,45726,65438,110920,12.00513832,2.93855011,1,1,0.035790604,0.108571077,42.4766694,-71.14871884
250,106807,44773,59241,13269,16.77491595,10.04145085,1,2,0.120188042,0.151707598,41.3642945,-72.59014845
251,96684,54251,96684,54251,4.957930909,2.895426412,1,1,0.03817499,0.044838126,47.05173931,-91.90170223
252,472741,473175,473175,473191,56.52716355,58.91253608,4,4,0.723699378,0.511215689,43.00676349,-118.9525381
