net_id,vertices_count,edges_count,artic_count,max_cliques,mean_degree_norm,far_vert_1,far_vert_2,far_vert_dist,edge_conn,edge_dens,min_cut,far_min_cut,strength
261,55,235,23,28,0.158249158,457218,456931,304.258,1,0.158249158,1,1,661.0857091
262,2,1,0,1,1,354045,351247,0.446,1,1,1,1,0.446
263,14,68,2,3,0.747252747,470659,472433,183.135,1,0.747252747,1,11,934.9158571
264,5,4,3,4,0.4,460229,459878,7.54,1,0.4,1,1,3.016
265,20,124,4,5,0.652631579,471944,470650,140.534,1,0.652631579,1,15,733.6249
266,40,418,10,11,0.535897436,142989,142533,159.97,1,0.535897436,1,28,1455.828
267,4,6,0,1,1,80278,73924,35.749,3,1,3,3,64.9595
268,3,3,0,1,1,602,2789,16.319,2,1,2,2,29.232
269,8,11,2,4,0.392857143,132100,46751,14.651,1,0.392857143,1,2,14.52475
270,2,1,0,1,1,107075,43973,0.766,1,1,1,1,0.766
271,9,9,5,7,0.25,120255,119170,5.54,1,0.25,1,1,3.036888889
272,19,22,10,15,0.128654971,97859,257856,35.267,1,0.128654971,1,1,8.170842105
273,3,2,1,2,0.666666667,478720,480311,0.454,1,0.666666667,1,1,0.302666667
274,30,43,12,19,0.098850575,31075,88396,24.937,1,0.098850575,1,1,8.9642
275,11,16,6,7,0.290909091,40796,67785,80.252,1,0.290909091,1,1,94.87563636
276,7,9,3,4,0.428571429,55119,28952,12.406,1,0.428571429,1,1,11.73428571
277,50,56,32,45,0.045714286,250,2751,29.937,1,0.045714286,1,1,6.80452
278,2,1,0,1,1,108797,66408,3.658,1,1,1,1,3.658
279,9,8,7,8,0.222222222,353111,350944,7.336,1,0.222222222,1,1,1.630222222
280,14,79,1,2,0.868131868,73534,72490,56.948,1,0.868131868,1,12,342.301
281,2,1,0,1,1,214206,213234,21.864,1,1,1,1,21.864
282,5,4,3,4,0.4,129009,123382,1.426,1,0.4,1,1,0.5704
283,6,8,2,3,0.533333333,125536,95484,18.895,1,0.533333333,1,1,24.10433333
284,6,6,3,4,0.4,74673,141701,5.584,1,0.4,1,1,3.150333333
285,5,7,1,2,0.7,54092,57115,11.085,1,0.7,1,1,17.0204
286,2,1,0,1,1,18462,58244,0.852,1,1,1,1,0.852
287,5,4,3,4,0.4,357324,357297,5.205,1,0.4,1,1,2.082
288,3,2,1,2,0.666666667,222172,222511,7.755,1,0.666666667,1,1,5.17
289,13,16,8,9,0.205128205,24059,1891,61.238,1,0.205128205,1,1,41.77138462
290,2,1,0,1,1,142035,142257,2.811,1,1,1,1,2.811
291,3,2,1,2,0.666666667,120388,11284,5.911,1,0.666666667,1,1,3.940666667
292,3,2,1,2,0.666666667,469442,468714,1.615,1,0.666666667,1,1,1.076666667
293,23,34,11,16,0.134387352,40654,352,21.578,1,0.134387352,1,1,14.7486087
294,2,1,0,1,1,33339,77032,0.12,1,1,1,1,0.12
295,5,4,2,4,0.4,36234,1843,4.751,1,0.4,1,1,1.9432
296,7,6,4,6,0.285714286,48986,1530,23.312,1,0.285714286,1,1,6.920571429
297,3,2,1,2,0.666666667,137973,97943,18.798,1,0.666666667,1,1,12.532
298,4,6,0,1,1,131925,4834,69.537,3,1,3,3,122.2895
299,4,4,0,4,0.666666667,226575,230607,0.409,2,0.666666667,2,2,0.434
300,2,1,0,1,1,28890,124459,2.582,1,1,1,1,2.582
301,7,12,2,3,0.571428571,149091,147876,43.448,1,0.571428571,1,4,71.74371429
302,19,24,7,13,0.140350877,206553,211196,183.185,1,0.140350877,1,1,65.624
303,3,2,1,2,0.666666667,450626,451651,83.55,1,0.666666667,1,1,55.7
304,16,36,5,6,0.3,17506,16459,131.691,1,0.3,1,5,179.657
305,69,224,17,33,0.095481671,317092,317118,63.818,1,0.095481671,1,1,112.374
306,4,4,1,2,0.666666667,118231,83167,20.565,1,0.666666667,1,1,23.856
307,12,39,3,4,0.590909091,21833,32292,95.283,1,0.590909091,1,8,273.1205
308,4,6,0,1,1,4036,119,21.396,3,1,3,3,44.695
309,27,257,4,5,0.732193732,39645,113180,83.949,1,0.732193732,1,22,714.28
310,2,1,0,1,1,207849,205480,2.36,1,1,1,1,2.36
311,3,3,0,1,1,143030,142468,23.153,2,1,2,2,35.296
312,2,1,0,1,1,455972,456279,27.405,1,1,1,1,27.405
313,8,7,6,7,0.25,90901,94013,6.904,1,0.25,1,1,1.726
314,72,82,48,65,0.032081377,446275,445622,147.739,1,0.032081377,1,1,17.08986111
315,44,279,12,13,0.294926004,130750,114273,96.781,1,0.294926004,1,1,444.2726364
316,4,3,2,3,0.5,135217,62296,5.279,1,0.5,1,1,2.6395
317,26,94,8,12,0.289230769,196229,200129,28.239,1,0.289230769,1,1,84.00353846
318,2,1,0,1,1,480401,480078,2.828,1,1,1,1,2.828
319,2,1,0,1,1,141078,1691,1.726,1,1,1,1,1.726
320,2,1,0,1,1,482017,482456,0.122,1,1,1,1,0.122
321,14,20,5,8,0.21978022,1338,19719,42.758,1,0.21978022,1,1,29.138
322,2,1,0,1,1,171,26026,11.307,1,1,1,1,11.307
323,5,4,2,4,0.4,61439,38557,29.062,1,0.4,1,1,11.8728
324,6,11,1,2,0.733333333,234794,234255,40.939,1,0.733333333,1,4,72.577
325,13,36,3,4,0.461538462,443090,441835,177.075,1,0.461538462,1,1,379.3612308
326,22,30,11,14,0.12987013,109888,19500,18.187,1,0.12987013,1,1,7.426818182
327,2,1,0,1,1,51270,46053,6.274,1,1,1,1,6.274
328,20,39,6,9,0.205263158,316941,317083,32.833,1,0.205263158,1,1,32.4743
329,19,45,5,7,0.263157895,480821,480966,134.263,1,0.263157895,1,1,140.1663158
330,2,1,0,1,1,458346,459857,0.728,1,1,1,1,0.728
331,2,1,0,1,1,451464,450465,55.938,1,1,1,1,55.938
332,2,1,0,1,1,247800,245084,0.084,1,1,1,1,0.084
333,2,1,0,1,1,6472,53286,4.534,1,1,1,1,4.534
334,2,1,0,1,1,358992,358993,15.202,1,1,1,1,15.202
335,3,2,1,2,0.666666667,8305,116106,14.322,1,0.666666667,1,1,9.548
336,8,16,1,3,0.571428571,75739,70559,35.09,1,0.571428571,1,1,50.14625
337,2,1,0,1,1,108911,16363,0.591,1,1,1,1,0.591
338,6,6,3,4,0.4,50060,86374,29.499,1,0.4,1,1,18.93833333
339,22,87,7,10,0.376623377,471433,470793,131.887,1,0.376623377,1,1,455.9259091
340,3,2,1,2,0.666666667,344109,339681,13.752,1,0.666666667,1,1,9.168
341,3,2,1,2,0.666666667,125786,124716,15.604,1,0.666666667,1,1,10.40266667
342,8,28,0,1,1,208118,205356,58.311,7,1,7,7,205.32
343,4,3,2,3,0.5,13314,134205,5.849,1,0.5,1,1,2.9245
344,8,11,1,4,0.392857143,82270,37567,34.494,1,0.392857143,1,2,33.323
345,2,1,0,1,1,89428,74683,0.076,1,1,1,1,0.076
346,4,3,2,3,0.5,111243,6527,18.191,1,0.5,1,1,9.0955
347,12,29,3,4,0.439393939,84514,123784,106.562,1,0.439393939,1,1,175.253
348,2,1,0,1,1,447464,447463,5.306,1,1,1,1,5.306
349,2,1,0,1,1,61414,102785,11.139,1,1,1,1,11.139
350,2,1,0,1,1,341626,343406,1.682,1,1,1,1,1.682
351,4,4,1,2,0.666666667,146625,146022,5.393,1,0.666666667,1,2,6.887
352,2,1,0,1,1,355464,355652,4.169,1,1,1,1,4.169
353,26,74,6,12,0.227692308,129690,82356,51.104,1,0.227692308,1,1,81.74023077
354,5,4,2,4,0.4,349188,348940,19.319,1,0.4,1,1,7.8584
355,10,45,0,1,1,165132,163705,95.654,9,1,9,9,470.605
356,5,4,2,4,0.4,315186,316285,12.808,1,0.4,1,1,5.4592
357,18,24,10,12,0.156862745,89362,8104,26.548,1,0.156862745,1,1,12.84666667
358,6,6,2,4,0.4,72583,12256,10.292,1,0.4,1,1,9.348
359,18,53,5,6,0.346405229,105728,32057,57.766,1,0.346405229,1,7,134.1328889
360,4,6,0,1,1,318712,319316,40.141,3,1,3,3,73.9565
361,7,8,1,4,0.380952381,24156,53420,21.704,1,0.380952381,1,1,17.04914286
362,2,1,0,1,1,471020,470443,1.657,1,1,1,1,1.657
363,5,7,1,2,0.7,482609,482637,38.123,1,0.7,1,3,55.5796
364,5,4,3,4,0.4,350875,352347,7.252,1,0.4,1,1,2.9008
365,2,1,0,1,1,478055,477164,11.21,1,1,1,1,11.21
366,6,6,3,4,0.4,56121,124526,10.707,1,0.4,1,1,7.469333333
367,2,1,0,1,1,324764,323803,0.032,1,1,1,1,0.032
368,12,13,5,9,0.196969697,472586,473384,56.167,1,0.196969697,1,1,21.85716667
369,6,11,1,2,0.733333333,470223,469837,36.899,1,0.733333333,1,1,91.972
370,3,2,1,2,0.666666667,3092,533,0.875,1,0.666666667,1,1,0.583333333
371,16,106,1,2,0.883333333,469828,470435,251.492,1,0.883333333,1,14,1604.798
372,3,3,0,1,1,59584,141003,12.94,2,1,2,2,22.45466667
373,2,1,0,1,1,3431,1514,3.031,1,1,1,1,3.031
374,3,3,0,1,1,57305,5376,46.882,2,1,2,2,79.52866667
375,10,11,6,7,0.244444444,141679,17366,17.523,1,0.244444444,1,1,6.578
376,9,36,0,1,1,188384,191890,221.964,8,1,8,8,977.2668889
377,2,1,0,1,1,58332,112133,8.675,1,1,1,1,8.675
378,2,1,0,1,1,158035,158438,0.711,1,1,1,1,0.711
379,13,48,3,4,0.615384615,45905,135072,76.83,1,0.615384615,1,1,199.1033846
380,3,3,0,1,1,137104,54176,9.714,2,1,2,2,17.75666667
381,28,150,9,10,0.396825397,126658,116318,133.998,1,0.396825397,1,1,575.1662857
382,5,10,0,1,1,471796,470533,51.843,4,1,4,4,118.8848
383,6,6,3,4,0.4,96802,1986,37.693,1,0.4,1,1,30.66833333
384,2,1,0,1,1,234717,235881,7.465,1,1,1,1,7.465
385,4,3,2,3,0.5,367,5212,2.199,1,0.5,1,1,1.0995
386,5,7,1,2,0.7,323087,321812,27.069,1,0.7,1,1,48.67
387,6,8,2,3,0.533333333,60308,117184,24.707,1,0.533333333,1,1,25.25466667
388,16,93,2,3,0.775,481528,481476,73.407,1,0.775,1,13,431.739875
389,7,16,1,2,0.761904762,142650,142558,7.457,1,0.761904762,1,1,15.64314286
390,11,19,3,5,0.345454545,18344,107764,45.114,1,0.345454545,1,1,47.922
391,2,1,0,1,1,37333,101650,3.142,1,1,1,1,3.142
392,2,1,0,1,1,132017,60306,0.093,1,1,1,1,0.093
393,4,4,1,2,0.666666667,456173,456271,92.301,1,0.666666667,1,1,95.947
394,6,6,3,4,0.4,124574,18468,20.707,1,0.4,1,1,11.36266667
395,3,2,1,2,0.666666667,472743,473086,48.17,1,0.666666667,1,1,32.11333333
396,2,1,0,1,1,50167,103965,1.5,1,1,1,1,1.5
397,4,3,1,3,0.5,43863,53230,5.53,1,0.5,1,1,2.9205
398,2,1,0,1,1,84175,41610,0.032,1,1,1,1,0.032
399,3,2,1,2,0.666666667,119431,31280,0.986,1,0.666666667,1,1,0.657333333
400,2,1,0,1,1,10314,122554,0.269,1,1,1,1,0.269
401,2,1,0,1,1,72517,65402,0.17,1,1,1,1,0.17
402,2,1,0,1,1,62618,27246,13.447,1,1,1,1,13.447
