"lagoslakeid","net_id","net_dams_n","lake_nets_nearestdamdown_km","lake_nets_nearestdamup_km","lake_nets_totaldamup_n","lake_nets_totaldamdown_n","lake_nets_damonlake_flag","lake_nets_multidam_flag"
317177,1,24986,0,NA,0,2,"Y","N"
317184,1,24986,NA,NA,0,0,"N","N"
317194,1,24986,64.571,NA,0,1,"N","N"
317196,1,24986,0,NA,0,2,"Y","N"
317198,1,24986,NA,NA,0,0,"N","N"
317200,1,24986,NA,NA,0,0,"N","N"
317201,1,24986,130.976,NA,0,1,"N","N"
317202,1,24986,NA,NA,0,0,"N","N"
317203,1,24986,NA,NA,0,0,"N","N"
317204,1,24986,NA,NA,0,0,"N","N"
317209,1,24986,141.899,NA,0,1,"N","N"
317215,1,24986,NA,NA,0,0,"N","N"
317217,1,24986,NA,NA,0,0,"N","N"
317219,1,24986,NA,17.046,1,0,"N","N"
317220,1,24986,NA,NA,0,0,"N","N"
317222,1,24986,NA,NA,0,0,"N","N"
317228,1,24986,376.142,NA,0,1,"N","N"
317229,1,24986,331.4,NA,0,1,"N","N"
317230,1,24986,395.543,NA,0,1,"N","N"
317233,1,24986,NA,NA,0,0,"N","N"
317234,1,24986,NA,NA,0,0,"N","N"
317238,1,24986,NA,NA,0,0,"N","N"
317244,1,24986,NA,NA,0,0,"N","N"
317245,1,24986,298.67,NA,0,1,"N","N"
317246,1,24986,NA,NA,0,0,"N","N"
317249,1,24986,278.67,NA,0,1,"N","N"
317250,1,24986,305.16,NA,0,1,"N","N"
317251,1,24986,0,0.675,1,1,"N","N"
317253,1,24986,NA,NA,0,0,"N","N"
317254,1,24986,0,NA,0,1,"N","N"
317255,1,24986,NA,NA,0,0,"N","N"
317259,1,24986,199.178,NA,0,1,"N","N"
317269,1,24986,0,NA,0,1,"Y","N"
317271,1,24986,0,NA,0,2,"Y","N"
317273,1,24986,0,NA,0,1,"N","N"
317275,1,24986,0,NA,0,1,"Y","N"
317287,1,24986,130.444,NA,0,1,"N","N"
317288,1,24986,NA,NA,0,0,"N","N"
317289,1,24986,NA,NA,0,0,"N","N"
317290,1,24986,194.312,NA,0,1,"N","N"
317291,1,24986,NA,NA,0,0,"N","N"
317292,1,24986,NA,NA,0,0,"N","N"
317295,1,24986,130.648,NA,0,1,"N","N"
317298,1,24986,NA,NA,0,0,"N","N"
317302,1,24986,174.691,NA,0,1,"N","N"
317303,1,24986,191.184,NA,0,1,"N","N"
317306,1,24986,NA,NA,0,0,"N","N"
317307,1,24986,NA,NA,0,0,"N","N"
317311,1,24986,NA,NA,0,0,"N","N"
317312,1,24986,0,NA,0,2,"N","N"
317313,1,24986,7.887,NA,0,1,"N","N"
317315,1,24986,379.554,NA,0,1,"N","N"
317320,1,24986,362.654,NA,0,1,"N","N"
317323,1,24986,307.768,NA,0,1,"N","N"
317325,1,24986,0,NA,0,2,"N","N"
317329,1,24986,0,NA,0,1,"N","N"
317330,1,24986,305.504,NA,0,1,"N","N"
317332,1,24986,270.099,NA,0,1,"N","N"
317333,1,24986,0,NA,0,1,"Y","N"
317334,1,24986,NA,NA,0,0,"N","N"
317335,1,24986,NA,NA,0,0,"N","N"
317340,1,24986,153.965,NA,0,1,"N","N"
317341,1,24986,122.771,NA,0,1,"N","N"
317342,1,24986,141.24,NA,0,1,"N","N"
317343,1,24986,0,NA,0,1,"N","N"
317345,1,24986,195.376,NA,0,1,"N","N"
317346,1,24986,NA,NA,0,0,"N","N"
317351,1,24986,NA,NA,0,0,"N","N"
317358,1,24986,NA,NA,0,0,"N","N"
317360,1,24986,NA,NA,0,0,"N","N"
317362,1,24986,113.68,NA,0,1,"N","N"
317363,1,24986,133.6,NA,0,1,"N","N"
317364,1,24986,131.393,NA,0,1,"N","N"
317365,1,24986,NA,NA,0,0,"N","N"
317369,1,24986,147.299,NA,0,1,"N","N"
317371,1,24986,NA,NA,0,0,"N","N"
317373,1,24986,NA,NA,0,0,"N","N"
317379,1,24986,NA,NA,0,0,"N","N"
317382,1,24986,NA,NA,0,0,"N","N"
317383,1,24986,0.461,26.824,2,3,"N","N"
317384,1,24986,NA,7.571,1,0,"N","N"
317385,1,24986,3.257,12.011,5,2,"N","N"
317387,1,24986,NA,NA,0,0,"N","N"
317388,1,24986,379.113,NA,0,1,"N","N"
317390,1,24986,389.534,NA,0,1,"N","N"
317392,1,24986,370.764,NA,0,1,"N","N"
317394,1,24986,318.075,NA,0,1,"N","N"
317397,1,24986,306.097,NA,0,1,"N","N"
317398,1,24986,301.132,NA,0,1,"N","N"
317401,1,24986,394.466,NA,0,1,"N","N"
317403,1,24986,305.333,NA,0,1,"N","N"
317404,1,24986,NA,NA,0,0,"N","N"
317405,1,24986,0,1.555,1,2,"N","N"
317406,1,24986,238.824,NA,0,1,"N","N"
317407,1,24986,206.13,NA,0,1,"N","N"
317408,1,24986,NA,NA,0,0,"N","N"
317410,1,24986,157.516,NA,0,1,"N","N"
317411,1,24986,NA,NA,0,0,"N","N"
317415,1,24986,197.643,NA,0,1,"N","N"
317416,1,24986,0,NA,0,1,"N","N"
317418,1,24986,0,5.059,1,1,"Y","N"
317419,1,24986,NA,NA,0,0,"N","N"
317421,1,24986,NA,NA,0,0,"N","N"
317424,1,24986,89.155,NA,0,1,"N","N"
317426,1,24986,NA,NA,0,0,"N","N"
317432,1,24986,0,NA,0,1,"Y","N"
317438,1,24986,NA,NA,0,0,"N","N"
317440,1,24986,0,NA,0,2,"Y","N"
317444,1,24986,NA,NA,0,0,"N","N"
317445,1,24986,NA,NA,0,0,"N","N"
317446,1,24986,NA,NA,0,0,"N","N"
317447,1,24986,NA,NA,0,0,"N","N"
317448,1,24986,NA,NA,0,0,"N","N"
317449,1,24986,131.937,NA,0,1,"N","N"
317451,1,24986,126.753,NA,0,1,"N","N"
317454,1,24986,144.111,NA,0,1,"N","N"
317455,1,24986,NA,NA,0,0,"N","N"
317458,1,24986,NA,NA,0,0,"N","N"
317460,1,24986,144.453,NA,0,1,"N","N"
317461,1,24986,6.429,NA,0,1,"N","N"
