"net_id","net_lakes_n","net_averagelakedistance_km","net_averagelakearea_ha","net_dams_n","net_avgorder","net_maxorder","net_minorder","net_rangeorder","vertices_count","edges_count","artic_count","max_cliques","mean_degree_norm","far_vert_1","far_vert_2","far_vert_dist","edge_conn","edge_dens","min_cut","far_min_cut","strength","minlat_id","maxlat_id","minlon_id","maxlon_id","maxkmNS","maxkmEW","min_cut_lat","min_cut_lon","maxlon_dist","maxlat_dist","latavg","lonavg"
727,3,93.919,6.415,7,2,3,1,2,3,3,0,1,1,447784,447792,108.175,2,1,2,2,187.838,447792,447784,447792,447796,21.18092499,13.14191978,2,2,0.140287312,0.191554298,32.69803653,-108.0524155
3,2027,544.529,95.336,954,1,9,0,9,2027,154370,552,675,0.075179548,451553,454420,2850.43,1,0.075179548,1,1,82939.19852,454431,450847,453717,449745,1330.342786,830.2617778,1,1,9.578337618,12.03124411,38.82836896,-110.5871544
879,2,0.07,4.966,0,1,1,1,0,2,1,0,1,1,449960,450058,0.07,1,1,1,1,0.07,449960,450058,450058,449960,0.404227126,0.135014996,1,1,0.001561503,0.003655716,39.03821957,-107.9119541
834,2,0.544,32.17,0,1,1,1,0,2,1,0,1,1,450109,450153,0.544,1,1,1,1,0.544,450109,450153,450109,450153,1.028423221,1.339301973,1,1,0.015491873,0.009300769,39.04870481,-107.9366669
682,2,22.264,5.833,1,0,0,0,0,2,1,0,1,1,450208,450316,22.264,1,1,1,1,22.264,450208,450316,450208,450316,0.662391479,0.262604879,1,1,0.003007466,0.005990481,38.33590391,-107.6484422
331,2,55.938,185.172,0,2,4,0,4,2,1,0,1,1,451464,450465,55.938,1,1,1,1,55.938,450465,451464,450465,451464,33.35029528,9.404343002,1,1,0.1139658,0.301610643,42.15936701,-108.1430387
303,3,41.775,14.5,2,2,3,1,2,3,2,1,2,0.666666667,450626,451651,83.55,1,0.666666667,1,1,55.7,451652,450626,450626,451652,14.07214238,6.287738255,1,1,0.076244646,0.127264478,42.19851045,-108.5317256
643,8,42.318,4.04,2,1,2,0,2,8,11,3,4,0.392857143,451824,450809,131.468,1,0.392857143,1,1,116.3755,451824,450809,450807,450809,44.43509578,29.66599257,1,3,0.357393937,0.401858446,41.78418701,-107.4426001
809,3,2.066,12.847,0,1,2,0,2,3,2,1,2,0.666666667,451104,451110,4.131,1,0.666666667,1,1,2.754,451104,451253,451253,451110,0.928689935,2.297162951,1,1,0.028139116,0.008398809,42.83218633,-109.3724918
683,2,0.043,4.592,0,0,1,0,1,2,1,0,1,1,451619,451621,0.043,1,1,1,1,0.043,451619,451621,451621,451619,0.25928777,0.094033659,1,1,0.001151895,0.002344925,42.83371712,-109.4026128
580,2,2.055,5.758,0,1,1,1,0,2,1,0,1,1,452848,452754,2.055,1,1,1,1,2.055,452848,452754,452754,452848,1.796877465,0.946122336,1,1,0.011201318,0.016250452,40.64460709,-110.2958602
507,2,15.379,342.443,2,2,4,0,4,2,1,0,1,1,454004,453894,15.379,1,1,1,1,15.379,454004,453894,453894,454004,14.43676152,1.748021373,1,1,0.019069277,0.13056199,34.56756487,-110.3861264
99,105,118.224,329.559,68,2,7,0,7,105,788,27,34,0.144322344,455353,455031,624.304,1,0.144322344,1,1,1774.492667,455353,455398,455031,455594,216.8296761,146.1242999,1,1,1.768046421,1.960946299,42.05974088,-111.2214452
700,2,11.067,14.086,0,2,2,1,1,2,1,0,1,1,455290,455204,11.067,1,1,1,1,11.067,455290,455204,455290,455204,8.957469263,2.139708431,1,1,0.025688962,0.08100882,41.56245835,-112.2097792
837,2,0.474,3.753,0,1,1,1,0,2,1,0,1,1,456091,455696,0.474,1,1,1,1,0.474,456091,455696,456091,455696,0.530336235,0.362417687,1,1,0.004354829,0.004796211,41.61741857,-112.4152663
