"","WSA9","GAP12_ctr","GAP123_ctr","GAP12_80pct","GAP123_80pct","n","GAP12_ctr_pct","GAP123_ctr_pct","GAP12_80pct_pct","GAP123_80pct_pct","GAP3_ctr_only_pct","GAP3_80pct_only_pct"
"1","CPL",34,51,9,11,528,6.43939393939394,9.65909090909091,1.70454545454545,2.08333333333333,3.21969696969697,0.378787878787879
"2","NAP",24,60,14,18,451,5.32150776053215,13.3037694013304,3.10421286031042,3.99113082039911,7.98226164079823,0.886917960088691
"3","NPL",1,1,0,0,5,20,20,0,0,0,0
"4","SAP",20,40,4,10,295,6.77966101694915,13.5593220338983,1.35593220338983,3.38983050847458,6.77966101694915,2.03389830508475
"5","SPL",3,6,0,0,103,2.9126213592233,5.8252427184466,0,0,2.9126213592233,0
"6","TPL",25,37,6,6,190,13.1578947368421,19.4736842105263,3.15789473684211,3.15789473684211,6.31578947368421,0
"7","UMW",42,78,23,57,260,16.1538461538462,30,8.84615384615385,21.9230769230769,13.8461538461538,13.0769230769231
"8","WMT",54,115,61,118,169,31.9526627218935,68.0473372781065,36.094674556213,69.8224852071006,36.094674556213,33.7278106508876
"9","XER",5,25,1,11,79,6.32911392405063,31.6455696202532,1.26582278481013,13.9240506329114,25.3164556962025,12.6582278481013
