"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","PCconnall","net_id"
"2",4.66553836974577,-2.26632659388009,0.0420140352897614,-0.455135360704724,-0.909454223123753,1.50062481601971,0.570954484958698,-0.472554030168433,5.186856900831,"2"
"3",10.5169625812874,-5.816859817519,0.500124467163171,-1.82706756706744,1.94676632953356,3.41029360743037,-0.986671845557287,0.454496329939191,12.0184175361345,"3"
"5",1.89889051229956,-0.247077570278601,0.269503720457812,-0.356562790134692,-0.570937279121542,-0.745364514570962,-0.325782113555082,-0.819914169400177,1.91489751773719,"5"
"6",3.39348594526855,-1.40233648322139,0.462185288134751,-0.480334577133519,-0.744513966474252,0.241052686746179,-1.36246091109462,-0.38854946549294,3.67182440660075,"6"
"7",0.302860895996537,-1.10650473800074,-0.557862833982636,-0.594652631144863,-0.989590359639799,-0.447131697320756,-0.0234771705659342,0.391138722088247,1.14720419173829,"7"
"8",0.225018472415732,0.994339932529823,-0.0405148128750993,0.197148945978349,-0.392680514682481,-0.405932041048771,-0.0689360186404036,0.270070735469899,1.01948281709488,"8"
"9",3.00901143940601,-1.17208225022898,-0.0143728223451451,-0.255836438842235,-1.45204028174136,0.775922423123928,0.267738599462837,-0.613311042038114,3.22923003884487,"9"
"10",5.29806168895078,-2.01804693461256,-0.395351871334841,-0.576814324704991,-1.10728842039619,2.71661199079728,1.5157168585093,-0.432494322167153,5.66938895210296,"10"
"11",3.98455306253327,-2.74897476888976,-0.904214740225667,-0.287441482025326,-1.94460914535375,2.47211298401964,2.22322092196159,-0.132713737448996,4.84081866920625,"11"
"13",0.808784849627885,-0.794263043623688,-0.765959241937329,-0.809619430791423,-1.02382494829159,-0.175189725734303,0.447565864389194,-0.00588520826898938,1.13357254529826,"13"
"14",1.04503767153426,-1.56805565558161,0.401413118193215,-0.436198083934009,0.741992936207285,-1.54914380876269,-0.136630483466803,0.0580679281106884,1.8843837915688,"14"
"15",4.3399101650073,0.740752184100762,-6.33550574637088,6.57621734814528,1.5782228702149,-1.50446910228352,-0.337420423211283,-0.0846955986895368,4.40267351033252,"15"
"16",1.59473451587707,0.254861211991538,-0.659976670686394,-0.109411240256833,-1.04686197687179,0.0544886193926803,0.224679168122926,-0.510079042729432,1.61497133519684,"16"
"17",1.3314229833818,0.351090473226285,-0.280915983969132,-0.624951941100119,-0.993079884532362,0.10723329140041,-0.247390567483645,-0.331953584086514,1.37693561253515,"17"
"18",0.894277066152392,0.664528057658686,-0.354820973274866,-0.6541722586012,-0.766284831818954,0.0071770029883772,-0.213618949089192,0.0357454971917524,1.1141494560703,"18"
"19",-1.64806418379524,-1.8652172925883,0.422803964729662,0.862966516318911,-0.227987140110475,-0.16681537450537,0.0627732462110768,0.407250000409387,2.48900604709572,"19"
"20",3.16948644604976,-1.76211609134342,0.458934862067311,-0.134491391218262,-0.7314083283512,0.698498974662603,-0.309583241213712,0.363119951335541,3.62638903746752,"20"
"21",3.05381434063141,-1.4483651026837,-0.753427683338926,-0.907479508901077,-1.42066021972971,1.85609916652974,-0.859017593879315,0.375193987106134,3.37987329610416,"21"
"23",-0.801366323499961,-1.26400037027329,-0.887933770528875,-0.812915133613243,-0.73940913991869,-1.04130447133778,0.0272680584465348,0.415264348824159,1.49662450885012,"23"
"24",3.50777160128514,-0.690072909885584,-1.19501619648181,0.805933563880826,-1.15964199246473,0.980723422549782,0.374534450786704,-0.544619876769983,3.57500520667319,"24"
"25",1.02730551421925,-0.20382930625708,0.337379894175795,0.225259153673355,-1.2874758605639,-0.256671486038571,-0.104055512450925,-0.208708782664358,1.04733137336495,"25"
"26",0.984021258155685,-0.687428561088794,0.298182583539088,-0.17958013641588,-0.793423680916822,-0.946898189386132,-0.334359295599638,-0.0730301814256416,1.20035655665427,"26"
"27",-0.637958167449026,-0.867727949109751,0.488855075659121,0.584419394245377,-0.932598058388531,-0.614503829230948,-0.140365857974917,0.360635120817643,1.07700622889616,"27"
"28",3.09130280969226,-1.55122735700575,0.106569510561313,-0.333332998746317,-0.78837332769416,0.275051583905354,-2.06927715978049,0.155938276805025,3.45867884810577,"28"
"29",1.7238911171142,-1.22771498283072,-0.534267278062408,-0.890349775798767,-0.655051260253467,-0.341354042361082,0.596589916247534,-0.457606861273013,2.11638480970079,"29"
"30",-1.92591754571508,-1.86911556546103,-0.421005699510003,0.110690659697212,0.048748012944341,0.189166077307376,-0.0576947168081288,0.226960941881742,2.68379421527469,"30"
"31",2.30151161945505,-0.746552095574459,-0.60609555987105,0.948172929479295,-0.705885407147994,-0.379489271741232,-0.44846510033347,-0.158116159694527,2.41956520182722,"31"
"32",3.24921097376959,-0.995996337319212,0.30530636197228,-0.818785248921387,0.520069033459497,0.0483958056956221,0.352761030666895,-0.511392856985412,3.39843797295434,"32"
"33",2.42016745292157,-1.88451919596735,-0.459474137033356,-1.1600783625354,-0.384216227440131,-0.0672400101730403,-0.685722837745827,0.133486105970723,3.06734789356381,"33"
"34",7.01450676517964,-4.04133670783579,0.389645999250685,-1.54518841560417,1.57269633736386,1.14687627668205,-0.345123998837851,-0.0362704190059192,8.09541274703471,"34"
"35",1.96719666811181,-1.04876766190499,-0.081803043432728,0.0789024433161561,-1.5744365312993,0.736547632151175,1.11612311103677,0.000330067324229182,2.22929951771579,"35"
"36",4.84579692358518,0.981836386112862,-9.2256875691229,8.12219118390189,1.36028144530795,-1.10548268967689,-0.818720537857287,0.0375654444435333,4.94426440572536,"36"
"37",0.60353953688779,-0.97264518281686,-0.188636311877385,-0.489742044621404,-0.539416616587529,-1.04806677768665,0.0775101676305867,0.0926454150762491,1.1446827613988,"37"
"38",-1.75745033858137,-0.76907106860428,0.663707303386437,1.01518155369746,0.206766554260975,0.485851579295155,-0.133234221024632,-0.178249221544836,1.91835919502681,"38"
"39",-1.28925999151268,0.0217921156141964,-0.680293017519558,-0.606450343922641,0.144970443097897,0.125631176925359,0.052152658423857,0.262835629816832,1.28944415234559,"39"
"40",2.37640007903765,0.13618885003708,-2.13704772083627,0.712919544246521,2.05516481685919,-1.46747299521051,0.67046243074911,0.0823401511044917,2.38029929599716,"40"
"41",-0.0324384317507232,-0.706507862188887,-0.4842168046989,-0.544915607366029,-0.849999094178992,-0.647779128775416,0.076742444152048,0.0367118094152528,0.707252155308951,"41"
"42",-1.58357633636315,-0.813280450711787,0.287273283815518,0.594812214652791,0.0559229134672889,0.242368487088437,-0.0536214108779138,-0.0836176532106995,1.7802076015452,"42"
"43",0.675596741822826,-1.51734107425692,-0.991060730449464,-0.962358346293847,-1.11428138069312,-0.287259871677789,0.11349909760529,0.288483916872279,1.66094999719702,"43"
"44",0.711000358421831,1.6325493026714,0.024898556949006,0.329820512580278,-0.256664250047159,-0.0192302579275496,-0.18430199851951,0.316458720921164,1.78065682694023,"44"
"45",2.19204508354524,-0.744378452121087,0.69971116168418,0.332432472771423,-1.09168143499198,0.0451387192857016,0.44149853475882,-0.424429091065282,2.31498616157355,"45"
"46",0.213089711018426,-1.00707568175173,0.498252273560278,0.310211290739869,-1.0748090271881,-1.11845991634196,-0.018822675139236,0.309976069625425,1.02937294199801,"46"
"47",3.04296243166064,-1.51799226501001,0.0691415522556288,-0.313602576196545,-0.856566341753365,0.871344143187549,0.384646382116368,0.127848932288243,3.40057655069376,"47"
"48",3.0328020289896,-1.29704424311393,0.386417666750629,0.0286451601565639,-1.54754998391434,0.671326954641363,-1.11704032868544,-0.259796957020587,3.2985166235201,"48"
"49",-0.566128010697242,-0.926321725229224,0.367363946566906,0.394839650314503,-0.945920273814043,-0.926374705275705,-0.0669497935201121,0.223240460690938,1.08562095739151,"49"
"50",5.69151644734111,-2.49476029877115,0.477350947641302,0.07373851669892,-1.27525903893808,2.24834039190348,0.4139411143338,-0.553736662339813,6.21427295978211,"50"
"51",-0.774484742882181,0.0526285396463029,-0.0525439126213064,0.107728783220353,-0.383841746784957,-0.223823908872055,-0.0252052457956013,0.146434709337089,0.776270816237852,"51"
