net_id,lagoslakeid,vert_btwn_centr_norm
2,163339,0.001234187
2,163507,0.001234187
2,164219,0.007382251
2,169798,0.003082608
2,162292,0.010447898
2,165637,0.001234187
2,166228,0.001850708
2,172091,0.004928933
2,160520,0.013514497
2,169022,0.001850708
2,161502,0.001234187
2,168925,0.007994961
2,160487,0.001234187
2,164784,0.001850708
2,169504,0.001234187
2,168142,0.00185109
2,169652,0.001234187
2,161974,0.001234187
2,160162,0.001234377
2,167495,0.001234187
2,166438,0.008609768
2,170850,0.001234377
2,160481,0.001234187
2,168165,0.00308337
2,168157,0.001234187
2,165740,0.001234187
2,166488,0.020203805
2,172355,0.007382251
2,172357,0.003082608
2,163514,0.007994961
2,165685,0.002466849
2,163982,0.001850708
2,161496,0.002466849
2,168897,0.020468042
2,168988,0.001234187
2,162288,0.154007677
2,165501,0.001850708
2,171295,0.002466849
2,164061,0.009219238
2,167461,0.001234187
2,163763,0.001234187
2,163641,0.003697986
2,166473,0.00185109
2,170377,0.004312983
2,163328,0.001850708
2,168278,0.001850708
2,168310,0.002466849
2,164071,0.01227688
2,164287,0.00308337
2,171142,0.001234187
2,172303,0.003082608
2,169002,0.004927599
2,165030,0.001234187
2,167388,0.001234187
2,165169,0.00185109
2,169854,0.001234187
2,161378,0.002466849
2,166568,0.001234187
2,160180,0.009219238
2,161241,0.004927599
2,171294,0.001850708
2,172445,0.001850708
2,164597,0.003082608
2,164221,0.001234187
2,165638,0.001850708
2,160699,0.009219238
2,164767,0.003698939
2,160438,0.006155687
2,166849,0.001234187
2,162594,0.001234377
2,160521,0.009830804
2,168113,0.001850708
2,165666,0.003697986
2,160608,0.002466849
2,163039,0.003698939
2,170554,0.001234187
2,161527,0.001234187
2,167380,0.09328363
2,166535,0.007994961
2,172278,0.001234187
2,163636,0.001234187
2,161676,0.001850708
2,166121,0.001234377
2,171519,0.002467611
2,160494,0.001850708
2,170854,0.497349433
2,171962,0.003699702
2,168916,0.001234187
2,165523,0.001234187
2,161196,0.001850708
2,166301,0.015326518
2,168121,0.001234187
2,160161,0.4950886
2,168961,0.002466849
2,168903,0.001850708
2,172371,0.003083752
2,171999,0.002467421
2,166404,0.003698939
2,160678,0.006155687
2,168793,0.001234187
2,169719,0.00185109
2,170468,0.001234187
2,163397,0.001850708
2,169861,0.004312983
2,163556,0.002466849
2,167956,0.00308337
2,169645,0.001234187
2,165619,0.020169119
2,165228,0.001234187
2,162147,0.002466849
2,167322,0.001234187
2,159757,0.001234187
2,157314,0.001234187
2,172023,0.001234187
2,169949,0.004312983
2,164944,0.006155687
2,160164,0.004314127
2,168548,0.001234187
2,163107,0.011056034
2,163498,0.002466849
2,171796,0.00185109
2,160720,0.001234187
2,171397,0.001234187
2,165189,0.483904878
2,171422,0.004927599
2,162095,0.002467421
2,165246,0.001234187
2,168513,0.004312983
2,165554,0.001234187
2,162048,0.005541834
2,163050,0.002466849
2,162290,0.4775973
2,162087,0.001234377
2,157315,0.001234187
2,170065,0.50912433
2,171443,0.009830804
2,166805,0.003697986
2,161330,0.017769354
2,161610,0.001234377
2,160523,0.004927599
2,171293,0.00860729
2,167802,0.003697986
2,169874,0.002466849
2,171490,0.003697986
2,171720,0.021396445
2,169862,0.001234187
2,166393,0.001850708
2,167599,0.510380814
2,162760,0.001850708
2,161342,0.00676916
2,170654,0.016532881
2,161800,0.001234187
2,168261,0.001850708
2,166786,0.00676916
2,163806,0.004928933
2,169205,0.002466849
2,162888,0.001234187
2,166046,0.002466849
2,162291,0.001234377
2,170181,0.002466849
2,165195,0.105012788
2,170754,0.001234377
2,160522,0.003082608
2,164618,0.001234187
2,166079,0.001234187
2,161415,0.00860729
2,161981,0.00308337
2,169036,0.019564032
2,171885,0.001234377
2,167318,0.001234187
2,163756,0.013503444
2,162844,0.002466849
2,169058,0.003697986
2,169658,0.001850708
2,160525,0.002467421
2,162644,0.001850708
2,165824,0.00308337
2,169576,0.001234377
2,170555,0.002466849
2,162052,0.001234187
2,160661,0.003697986
2,165035,0.004927599
2,170122,0.001234187
2,160696,0.001234377
2,169520,0.003082608
2,162540,0.003697986
2,163843,0.001234187
2,165055,0.002467421
2,161433,0.003082608
2,161873,0.00308337
2,169272,0.027522593
2,170607,0.007382251
2,157285,0.001234187
2,168184,0.001850708
2,166996,0.002466849
2,169937,0.001234187
2,163456,0.003082608
2,164437,0.001234377
2,161329,0.00676916
2,164994,0.001234187
2,166382,0.001234377
2,163475,0.002466849
2,162191,0.001850708
2,167866,0.002466849
2,171645,0.003082608
2,163822,0.001234187
2,165699,0.001234187
2,165875,0.001234187
2,164465,0.025085284
2,168980,0.01044199
2,164350,0.006155687
2,163485,0.001850708
2,164015,0.001234187
2,169411,0.001234187
2,161343,0.003082608
2,162038,0.003082608
2,171297,0.002466849
2,169204,0.001234187
2,162007,0.011056034
2,171487,0.009830804
2,170704,0.021982093
2,161180,0.001234187
2,169790,0.009830804
2,163009,0.001850708
2,168155,0.001850708
2,167296,0.002466849
2,171718,0.011678082
2,167317,0.007997248
2,167489,0.002466849
2,169857,0.001234187
2,169011,0.012482229
2,162784,0.001850708
2,163043,0.026808114
2,162019,0.026873101
2,171249,0.007997248
2,157272,0.001850708
2,168146,0.002466849
2,163541,0.001234187
2,171253,0.001234187
2,164274,0.001234187
2,166788,0.00922991
2,170975,0.001850708
2,169426,0.001234377
2,169915,0.001234187
2,161179,0.002466849
2,161408,0.001234187
2,166280,0.00308337
2,160468,0.001234187
2,171141,0.003082608
2,171063,0.00185109
2,166474,0.002466849
