net_id,WSA9
586,NPL
587,CPL
588,UMW
589,UMW
59,WMT
590,NAP
591,UMW
592,CPL
593,CPL
594,TPL
595,NAP
596,NAP
597,TPL
598,NAP
599,NAP
6,CPL
60,SAP
600,UMW
601,XER
602,CPL
603,CPL
604,WMT
605,UMW
606,NAP
607,NAP
608,UMW
609,NPL
61,NAP
610,CPL
611,WMT
612,WMT
613,XER
614,CPL
615,CPL
616,CPL
617,XER
618,TPL
619,NAP
62,NAP
620,CPL
621,NAP
622,UMW
623,CPL
624,CPL
625,UMW
626,NAP
627,CPL
628,CPL
629,CPL
63,UMW
630,CPL
631,NAP
632,UMW
633,CPL
634,CPL
635,CPL
636,UMW
637,WMT
638,NAP
639,NAP
64,UMW
640,NAP
641,WMT
642,XER
643,XER
644,CPL
645,CPL
646,NAP
647,NAP
648,XER
649,TPL
65,CPL
650,NPL
651,UMW
652,XER
653,UMW
654,WMT
655,WMT
656,CPL
657,NAP
658,NAP
659,XER
66,NPL
660,WMT
661,CPL
662,CPL
663,CPL
664,CPL
665,CPL
666,UMW
667,NAP
668,TPL
669,XER
67,TPL
670,NAP
671,CPL
672,NAP
673,WMT
674,WMT
675,UMW
676,XER
677,NAP
678,NAP
679,NAP
68,UMW
680,CPL
681,XER
682,WMT
683,WMT
684,WMT
685,CPL
686,NAP
687,CPL
688,UMW
689,TPL
69,CPL
690,WMT
691,NAP
692,NAP
693,WMT
694,XER
695,CPL
696,XER
697,CPL
698,CPL
699,CPL
7,UMW
70,NAP
700,XER
701,CPL
702,NAP
703,CPL
704,CPL
705,NAP
706,UMW
707,XER
708,CPL
709,CPL
71,WMT
710,UMW
711,NAP
712,WMT
713,UMW
714,NAP
715,CPL
716,XER
717,TPL
718,NAP
719,TPL
72,NAP
720,UMW
721,CPL
722,WMT
723,CPL
724,CPL
725,TPL
726,XER
727,WMT
728,XER
729,NAP
73,NAP
730,CPL
731,NAP
732,WMT
733,NAP
734,NAP
735,UMW
736,WMT
737,NAP
738,UMW
739,XER
74,UMW
740,CPL
741,TPL
742,SPL
743,TPL
744,NAP
745,CPL
746,CPL
747,XER
748,XER
749,WMT
75,CPL
750,NAP
751,SPL
752,UMW
753,TPL
754,XER
755,NAP
756,NPL
757,XER
758,UMW
759,NAP
76,UMW
760,NPL
761,NAP
762,XER
763,CPL
764,XER
765,CPL
766,CPL
767,CPL
768,WMT
769,CPL
77,TPL
770,NAP
771,NAP
772,XER
773,WMT
774,CPL
775,CPL
776,TPL
777,CPL
778,CPL
779,NAP
78,NAP
780,XER
781,CPL
782,UMW
783,NAP
784,CPL
785,TPL
786,CPL
787,UMW
788,UMW
789,CPL
79,NAP
790,NAP
791,CPL
792,NAP
793,NPL
794,UMW
795,WMT
796,UMW
797,UMW
798,NAP
799,WMT
8,NAP
80,UMW
800,CPL
801,CPL
802,UMW
803,CPL
804,NPL
805,WMT
806,NAP
807,WMT
808,CPL
809,WMT
81,UMW
810,NPL
811,CPL
812,UMW
813,XER
814,NAP
815,WMT
816,CPL
817,CPL
818,CPL
819,UMW
82,NAP
820,WMT
821,XER
822,NAP
823,TPL
824,CPL
825,UMW
826,CPL
827,NAP
828,NAP
829,UMW
83,TPL
830,TPL
831,CPL
832,NAP
833,NAP
834,WMT
835,WMT
836,XER
837,XER
838,XER
839,CPL
84,NAP
840,NPL
841,TPL
842,CPL
843,NAP
844,UMW
845,UMW
846,UMW
847,UMW
848,NAP
849,NAP
85,NAP
850,CPL
851,NAP
852,NAP
853,NPL
854,WMT
855,TPL
856,UMW
857,UMW
858,TPL
859,CPL
86,TPL
860,XER
861,WMT
862,WMT
863,CPL
864,WMT
865,TPL
866,NPL
867,NPL
868,CPL
869,CPL
87,NAP
870,WMT
871,NAP
872,WMT
873,CPL
874,TPL
875,CPL
876,WMT
877,WMT
878,UMW
879,WMT
88,NAP
880,NAP
881,NAP
882,CPL
883,NAP
884,CPL
885,CPL
886,UMW
887,WMT
888,CPL
889,CPL
89,UMW
890,UMW
891,NAP
892,NPL
893,WMT
894,CPL
895,CPL
896,WMT
897,CPL
898,XER
9,CPL
90,SAP
91,CPL
92,NAP
93,CPL
94,CPL
95,XER
96,NAP
97,UMW
98,WMT
99,XER
