net_id,WSA9
1,NPL
10,NAP
100,CPL
101,WMT
102,NAP
103,CPL
104,TPL
105,CPL
106,XER
107,CPL
108,XER
109,WMT
11,UMW
110,UMW
111,WMT
112,TPL
113,CPL
114,UMW
115,UMW
116,CPL
117,UMW
118,WMT
119,WMT
12,TPL
120,NAP
121,NAP
122,XER
123,UMW
124,CPL
125,NAP
126,SAP
127,UMW
128,CPL
129,CPL
13,UMW
130,UMW
131,TPL
132,WMT
133,CPL
134,XER
135,NAP
136,XER
137,XER
138,CPL
139,NAP
14,WMT
140,WMT
141,CPL
142,CPL
143,CPL
144,UMW
145,WMT
146,TPL
147,CPL
148,CPL
149,TPL
15,SAP
150,NAP
151,CPL
152,NAP
153,UMW
154,NAP
155,NAP
156,NAP
157,WMT
158,CPL
159,CPL
16,CPL
160,TPL
161,CPL
162,NAP
163,NAP
164,UMW
165,CPL
166,CPL
167,NPL
168,SAP
169,UMW
17,CPL
170,UMW
171,TPL
172,CPL
173,CPL
174,WMT
175,UMW
176,TPL
177,UMW
178,CPL
179,XER
18,CPL
180,UMW
181,UMW
182,UMW
183,UMW
184,CPL
185,NAP
186,CPL
187,CPL
188,CPL
189,WMT
19,SAP
190,NAP
191,WMT
192,CPL
193,NAP
194,UMW
195,CPL
196,CPL
197,XER
198,NAP
199,NAP
2,CPL
20,NAP
200,UMW
201,NAP
202,CPL
203,CPL
204,NAP
205,NAP
206,CPL
207,NAP
208,NAP
209,NAP
21,CPL
210,TPL
211,XER
212,UMW
213,NAP
214,NAP
215,SAP
216,UMW
217,CPL
218,CPL
219,NAP
22,NAP
220,UMW
221,CPL
222,XER
223,WMT
224,UMW
225,NAP
226,NAP
227,XER
228,CPL
229,CPL
23,UMW
230,NAP
231,CPL
232,WMT
233,NAP
234,CPL
235,UMW
236,XER
237,WMT
238,TPL
239,CPL
24,CPL
240,CPL
241,NAP
242,UMW
243,UMW
244,UMW
245,UMW
246,TPL
247,NAP
248,CPL
249,NAP
25,CPL
250,NAP
251,UMW
252,XER
253,WMT
254,NAP
255,CPL
256,CPL
257,NAP
258,XER
259,UMW
26,NAP
260,WMT
261,WMT
262,NPL
263,WMT
264,WMT
265,WMT
266,CPL
267,TPL
268,UMW
269,NAP
27,CPL
270,UMW
271,NAP
272,UMW
273,XER
274,NAP
275,UMW
276,NAP
277,UMW
278,NAP
279,TPL
28,SAP
280,NAP
281,CPL
282,NAP
283,NAP
284,NAP
285,NAP
286,CPL
287,TPL
288,CPL
289,UMW
29,NAP
290,CPL
291,CPL
292,WMT
293,UMW
294,UMW
295,NAP
296,UMW
297,NAP
298,UMW
299,CPL
3,WMT
30,UMW
300,NAP
301,CPL
302,CPL
303,XER
304,UMW
305,WMT
306,CPL
307,UMW
308,UMW
309,UMW
31,SPL
310,CPL
311,CPL
312,XER
313,UMW
314,CPL
315,NAP
316,NAP
317,CPL
318,XER
319,UMW
32,WMT
320,XER
321,UMW
322,UMW
323,UMW
324,CPL
325,CPL
326,NAP
327,NAP
328,WMT
329,XER
33,NAP
330,WMT
331,XER
332,CPL
333,TPL
334,XER
335,NAP
336,NAP
337,CPL
338,UMW
339,WMT
34,WMT
340,NPL
341,TPL
342,CPL
343,NAP
344,UMW
345,NAP
346,NAP
347,NAP
348,XER
349,UMW
35,CPL
350,NPL
351,CPL
352,TPL
353,NAP
354,SPL
355,CPL
356,TPL
357,NAP
358,NAP
359,NAP
36,CPL
360,NPL
361,NAP
362,WMT
363,WMT
364,TPL
365,WMT
366,NAP
367,NPL
368,XER
369,WMT
37,NAP
370,UMW
371,WMT
372,NAP
373,UMW
374,TPL
375,NAP
376,CPL
377,UMW
378,CPL
379,UMW
38,CPL
380,CPL
381,UMW
382,WMT
