"","cluster","net_id"
"632",5,"632"
"633",5,"633"
"639",5,"639"
"643",3,"643"
"648",5,"648"
"651",5,"651"
"653",5,"653"
"660",5,"660"
"661",5,"661"
"665",3,"665"
"673",5,"673"
"681",5,"681"
"685",5,"685"
"704",5,"704"
"705",5,"705"
"721",5,"721"
"731",5,"731"
"750",5,"750"
"752",5,"752"
"760",5,"760"
"761",5,"761"
"762",5,"762"
"764",5,"764"
"766",5,"766"
"772",3,"772"
"781",5,"781"
"800",5,"800"
"821",5,"821"
"827",5,"827"
"843",5,"843"
"858",5,"858"
