"","cluster","net_id"
"264",7,"264"
"265",8,"265"
"266",8,"266"
"269",6,"269"
"271",7,"271"
"272",6,"272"
"274",4,"274"
"275",6,"275"
"276",6,"276"
"277",6,"277"
"279",7,"279"
"280",8,"280"
"282",7,"282"
"283",6,"283"
"284",7,"284"
"285",8,"285"
"287",7,"287"
"289",6,"289"
"293",6,"293"
"295",7,"295"
"296",7,"296"
"301",8,"301"
"302",6,"302"
"304",6,"304"
"305",4,"305"
"307",8,"307"
"309",8,"309"
"313",7,"313"
"314",6,"314"
"315",4,"315"
"317",4,"317"
"321",4,"321"
"323",7,"323"
"324",8,"324"
"325",6,"325"
"326",4,"326"
"328",4,"328"
"329",4,"329"
"336",8,"336"
"338",7,"338"
"339",4,"339"
"342",8,"342"
"344",4,"344"
"347",4,"347"
"353",4,"353"
"354",7,"354"
"355",8,"355"
"356",7,"356"
"357",6,"357"
"358",7,"358"
"359",4,"359"
"361",6,"361"
"363",8,"363"
"364",7,"364"
"366",7,"366"
"368",4,"368"
"369",8,"369"
"371",8,"371"
"375",7,"375"
"376",8,"376"
"379",8,"379"
"381",4,"381"
"382",8,"382"
"383",7,"383"
"386",8,"386"
"387",6,"387"
"388",8,"388"
"389",8,"389"
"390",6,"390"
"394",7,"394"
"403",6,"403"
"405",6,"405"
"406",8,"406"
"407",7,"407"
"410",8,"410"
"411",8,"411"
"413",6,"413"
"419",6,"419"
"420",8,"420"
"421",6,"421"
"423",7,"423"
"427",8,"427"
"431",6,"431"
"434",6,"434"
"435",7,"435"
"436",4,"436"
"437",8,"437"
"438",6,"438"
"440",7,"440"
"443",7,"443"
"448",8,"448"
"450",6,"450"
"452",6,"452"
"455",6,"455"
"457",7,"457"
"460",6,"460"
"463",8,"463"
"465",8,"465"
"466",4,"466"
"468",7,"468"
"469",8,"469"
"474",4,"474"
"476",4,"476"
"478",6,"478"
"480",8,"480"
"484",6,"484"
"486",7,"486"
"489",6,"489"
"490",4,"490"
"494",6,"494"
"495",8,"495"
"496",6,"496"
"500",8,"500"
"516",7,"516"
"517",6,"517"
"519",7,"519"
"521",6,"521"
"522",6,"522"
"524",7,"524"
"527",8,"527"
"529",7,"529"
"534",7,"534"
"536",4,"536"
"541",8,"541"
"543",7,"543"
"544",8,"544"
"545",6,"545"
"547",8,"547"
"550",7,"550"
"559",6,"559"
"565",6,"565"
"570",6,"570"
"573",8,"573"
"576",7,"576"
"581",8,"581"
"582",8,"582"
"584",6,"584"
"588",8,"588"
"591",7,"591"
"593",7,"593"
"595",6,"595"
"604",8,"604"
"621",7,"621"
"626",6,"626"
"627",8,"627"
"632",6,"632"
"633",7,"633"
"639",8,"639"
"643",6,"643"
"648",7,"648"
"651",8,"651"
"653",6,"653"
"660",6,"660"
"661",7,"661"
"665",8,"665"
"673",8,"673"
"681",7,"681"
"685",7,"685"
"704",8,"704"
"705",8,"705"
"721",8,"721"
"731",6,"731"
"750",7,"750"
"752",8,"752"
"760",7,"760"
"761",7,"761"
"762",7,"762"
"764",6,"764"
"766",8,"766"
"772",6,"772"
"781",7,"781"
"800",7,"800"
"821",8,"821"
"827",7,"827"
"843",8,"843"
"858",7,"858"
