"","cluster","net_id"
"2",1,"2"
"3",1,"3"
"5",2,"5"
"6",3,"6"
"7",4,"7"
"8",4,"8"
"9",3,"9"
"10",1,"10"
"11",3,"11"
"13",2,"13"
"14",4,"14"
"15",5,"15"
"16",2,"16"
"17",2,"17"
"18",2,"18"
"19",6,"19"
"20",3,"20"
"21",3,"21"
"23",4,"23"
"24",3,"24"
"25",2,"25"
"26",4,"26"
"27",4,"27"
"28",3,"28"
"29",3,"29"
"30",6,"30"
"31",2,"31"
"32",2,"32"
"33",3,"33"
"34",1,"34"
"35",3,"35"
"36",5,"36"
"37",4,"37"
"38",7,"38"
"39",6,"39"
"40",2,"40"
"41",4,"41"
"42",7,"42"
"43",3,"43"
"44",8,"44"
"45",2,"45"
"46",4,"46"
"47",3,"47"
"48",3,"48"
"49",4,"49"
"50",3,"50"
"51",6,"51"
"52",1,"52"
"53",4,"53"
"54",6,"54"
"56",2,"56"
"57",3,"57"
"58",2,"58"
"59",3,"59"
"60",2,"60"
"61",7,"61"
"62",6,"62"
"63",4,"63"
"64",3,"64"
"65",8,"65"
"66",7,"66"
"67",2,"67"
"68",2,"68"
"69",8,"69"
"70",4,"70"
"71",8,"71"
"72",8,"72"
"73",4,"73"
"74",4,"74"
"75",2,"75"
"77",8,"77"
"78",8,"78"
"79",4,"79"
"80",8,"80"
"81",6,"81"
"83",4,"83"
"85",8,"85"
"86",4,"86"
"87",4,"87"
"88",4,"88"
"90",5,"90"
"91",7,"91"
"92",8,"92"
"93",8,"93"
"94",7,"94"
"95",2,"95"
"96",6,"96"
"97",6,"97"
"98",2,"98"
"99",2,"99"
"100",2,"100"
"102",4,"102"
"103",4,"103"
"104",4,"104"
"105",8,"105"
"106",7,"106"
"108",7,"108"
"109",4,"109"
"110",4,"110"
"111",4,"111"
"112",8,"112"
"113",4,"113"
"114",4,"114"
"115",4,"115"
"117",4,"117"
"118",8,"118"
"119",2,"119"
"120",4,"120"
"122",4,"122"
"123",4,"123"
"125",6,"125"
"126",2,"126"
"127",8,"127"
"129",8,"129"
"130",4,"130"
"132",4,"132"
"133",2,"133"
"134",4,"134"
"135",4,"135"
"136",8,"136"
"137",6,"137"
"139",2,"139"
"140",4,"140"
"141",6,"141"
"142",4,"142"
"144",8,"144"
"145",4,"145"
"146",4,"146"
"147",6,"147"
"148",4,"148"
"150",8,"150"
"151",6,"151"
"152",7,"152"
"153",4,"153"
"154",4,"154"
"156",6,"156"
"158",7,"158"
"160",2,"160"
"161",8,"161"
"162",4,"162"
"164",6,"164"
"165",8,"165"
"166",8,"166"
"168",4,"168"
"169",4,"169"
"173",8,"173"
"175",6,"175"
"177",4,"177"
"178",7,"178"
"180",6,"180"
"184",4,"184"
"185",6,"185"
"187",8,"187"
"188",4,"188"
"189",4,"189"
"190",6,"190"
"191",6,"191"
"192",8,"192"
"194",4,"194"
"195",8,"195"
"196",8,"196"
"198",7,"198"
"199",4,"199"
"200",4,"200"
"201",4,"201"
"202",4,"202"
"204",4,"204"
"205",4,"205"
"207",4,"207"
"209",4,"209"
"210",7,"210"
"211",8,"211"
"212",4,"212"
"213",6,"213"
"214",4,"214"
"215",4,"215"
"216",6,"216"
"220",8,"220"
"221",4,"221"
"222",4,"222"
"223",6,"223"
"224",8,"224"
"225",4,"225"
"227",8,"227"
"230",6,"230"
"232",8,"232"
"233",4,"233"
"234",4,"234"
"235",4,"235"
"236",2,"236"
"237",4,"237"
"238",7,"238"
"239",4,"239"
"240",8,"240"
"242",6,"242"
"243",4,"243"
"244",4,"244"
"247",8,"247"
"248",8,"248"
"249",7,"249"
"250",6,"250"
"252",8,"252"
"253",6,"253"
"254",8,"254"
"255",7,"255"
"256",8,"256"
"257",4,"257"
"261",4,"261"
"263",8,"263"
