"","cluster","net_id"
"17",2,"17"
"196",2,"196"
"627",2,"627"
"65",2,"65"
"133",2,"133"
"100",2,"100"
"324",2,"324"
"6",1,"6"
"58",2,"58"
"69",2,"69"
"44",2,"44"
"192",2,"192"
"13",2,"13"
"293",2,"293"
"23",2,"23"
"164",2,"164"
"200",2,"200"
"304",2,"304"
"220",2,"220"
"130",2,"130"
"144",2,"144"
"180",2,"180"
"277",2,"277"
"243",2,"243"
"581",2,"581"
"296",2,"296"
"338",2,"338"
"216",2,"216"
"115",2,"115"
"235",2,"235"
"452",2,"452"
"81",2,"81"
"117",2,"117"
"212",2,"212"
"536",2,"536"
"752",2,"752"
"169",2,"169"
"242",2,"242"
"469",2,"469"
"570",2,"570"
"379",2,"379"
"517",2,"517"
"74",2,"74"
"68",2,"68"
"56",2,"56"
"104",2,"104"
"112",2,"112"
"573",2,"573"
"565",2,"565"
"307",2,"307"
"323",2,"323"
"495",2,"495"
"86",2,"86"
"77",2,"77"
"146",2,"146"
"309",2,"309"
"63",2,"63"
"64",1,"64"
"224",2,"224"
"153",2,"153"
"177",2,"177"
"272",2,"272"
"123",2,"123"
"7",2,"7"
"30",2,"30"
"321",2,"321"
"175",2,"175"
"127",2,"127"
"406",2,"406"
"381",2,"381"
"653",2,"653"
"489",2,"489"
"289",2,"289"
"651",2,"651"
"632",2,"632"
"344",2,"344"
"591",2,"591"
"588",2,"588"
"244",2,"244"
"41",2,"41"
"80",2,"80"
"194",2,"194"
"97",2,"97"
"437",2,"437"
"275",2,"275"
"383",2,"383"
"110",2,"110"
"114",2,"114"
"67",2,"67"
"427",2,"427"
"78",2,"78"
"8",2,"8"
"199",2,"199"
"315",2,"315"
"92",2,"92"
"465",2,"465"
"254",2,"254"
"150",2,"150"
"139",2,"139"
"205",2,"205"
"353",2,"353"
"72",2,"72"
"125",2,"125"
"347",2,"347"
"53",2,"53"
"233",2,"233"
"207",2,"207"
"135",2,"135"
"361",2,"361"
"313",2,"313"
"48",1,"48"
"160",2,"160"
"11",1,"11"
"83",2,"83"
"484",2,"484"
"858",2,"858"
"356",2,"356"
"43",1,"43"
"328",2,"328"
"223",2,"223"
"305",2,"305"
"760",2,"760"
"386",2,"386"
"354",2,"354"
"39",2,"39"
"66",2,"66"
"364",2,"364"
"238",2,"238"
"550",2,"550"
"279",2,"279"
"457",2,"457"
"529",2,"529"
"210",2,"210"
"287",2,"287"
"25",2,"25"
"50",1,"50"
"45",2,"45"
"325",2,"325"
"165",2,"165"
"31",2,"31"
"151",2,"151"
"314",2,"314"
"256",2,"256"
"423",2,"423"
"665",2,"665"
"52",1,"52"
"3",1,"3"
"643",2,"643"
"99",2,"99"
"237",2,"237"
"140",2,"140"
"119",2,"119"
"648",2,"648"
"500",2,"500"
"95",2,"95"
"14",2,"14"
"71",2,"71"
"261",2,"261"
"34",1,"34"
"264",2,"264"
"106",2,"106"
"543",2,"543"
"410",2,"410"
"118",2,"118"
"145",2,"145"
"660",2,"660"
"478",2,"478"
"544",2,"544"
"460",2,"460"
"371",2,"371"
"369",2,"369"
"673",2,"673"
"604",2,"604"
"476",2,"476"
"382",2,"382"
"339",2,"339"
"265",2,"265"
"98",2,"98"
"191",2,"191"
"420",2,"420"
"111",2,"111"
"263",2,"263"
"40",2,"40"
"516",2,"516"
"443",2,"443"
"368",2,"368"
"681",2,"681"
"772",2,"772"
"762",2,"762"
"463",2,"463"
"252",2,"252"
"32",2,"32"
"448",2,"448"
"136",2,"136"
"59",1,"59"
"109",2,"109"
"189",2,"189"
"227",2,"227"
"388",2,"388"
"545",2,"545"
"329",2,"329"
"108",2,"108"
"440",2,"440"
"122",2,"122"
"236",2,"236"
"137",2,"137"
"421",2,"421"
"232",2,"232"
"134",2,"134"
"222",2,"222"
"490",2,"490"
"764",2,"764"
"413",2,"413"
"211",2,"211"
"466",2,"466"
"584",2,"584"
"541",2,"541"
"821",2,"821"
"363",2,"363"
"521",2,"521"
"253",2,"253"
"132",2,"132"
"527",2,"527"
