"","cluster","net_id"
"33",1,"33"
"359",2,"359"
"154",2,"154"
"280",2,"280"
"87",2,"87"
"282",2,"282"
"455",2,"455"
"102",2,"102"
"390",2,"390"
"96",2,"96"
"214",2,"214"
"85",2,"85"
"283",2,"283"
"357",2,"357"
"431",2,"431"
"639",2,"639"
"436",2,"436"
"750",2,"750"
"152",2,"152"
"271",2,"271"
"534",2,"534"
"120",2,"120"
"37",2,"37"
"213",2,"213"
"209",2,"209"
"547",2,"547"
"434",2,"434"
"247",2,"247"
"57",1,"57"
"20",1,"20"
"79",2,"79"
"73",2,"73"
"156",2,"156"
"257",2,"257"
"49",2,"49"
"269",2,"269"
"336",2,"336"
"162",2,"162"
"70",2,"70"
"435",2,"435"
"61",2,"61"
"295",2,"295"
"559",2,"559"
"62",2,"62"
"94",2,"94"
"519",2,"519"
"285",2,"285"
"524",2,"524"
"249",2,"249"
"190",2,"190"
"595",2,"595"
"178",2,"178"
"705",2,"705"
"468",2,"468"
"201",2,"201"
"250",2,"250"
"26",2,"26"
"88",2,"88"
"230",2,"230"
"274",2,"274"
"731",2,"731"
"326",2,"326"
"204",2,"204"
"225",2,"225"
"375",2,"375"
"480",2,"480"
"185",2,"185"
"284",2,"284"
"761",2,"761"
"358",2,"358"
"276",2,"276"
"626",2,"626"
"494",2,"494"
"621",2,"621"
"843",2,"843"
"42",2,"42"
"496",2,"496"
"366",2,"366"
"827",2,"827"
"198",2,"198"
"10",1,"10"
"29",1,"29"
"46",2,"46"
"168",2,"168"
"474",2,"474"
"19",2,"19"
"407",2,"407"
"141",2,"141"
"419",2,"419"
"394",2,"394"
"38",2,"38"
"47",1,"47"
"173",2,"173"
"255",2,"255"
"184",2,"184"
"91",2,"91"
"781",2,"781"
"51",2,"51"
"27",2,"27"
"202",2,"202"
"188",2,"188"
"142",2,"142"
"195",2,"195"
"387",2,"387"
"239",2,"239"
"661",2,"661"
"576",2,"576"
"90",1,"90"
"266",2,"266"
"148",2,"148"
"215",2,"215"
"105",2,"105"
"389",2,"389"
"403",2,"403"
"721",2,"721"
"685",2,"685"
"766",2,"766"
"15",1,"15"
"166",2,"166"
"75",2,"75"
"93",2,"93"
"582",2,"582"
"593",2,"593"
"187",2,"187"
"301",2,"301"
"54",2,"54"
"5",2,"5"
"16",2,"16"
"221",2,"221"
"60",2,"60"
"126",2,"126"
"411",2,"411"
"438",2,"438"
"9",1,"9"
"2",1,"2"
"35",1,"35"
"355",2,"355"
"24",1,"24"
"21",1,"21"
"376",2,"376"
"317",2,"317"
"633",2,"633"
"161",2,"161"
"147",2,"147"
"158",2,"158"
"800",2,"800"
"240",2,"240"
"302",2,"302"
"405",2,"405"
"522",2,"522"
"113",2,"113"
"129",2,"129"
"704",2,"704"
"342",2,"342"
"234",2,"234"
"36",1,"36"
"486",2,"486"
"18",2,"18"
"450",2,"450"
"103",2,"103"
"28",1,"28"
"248",2,"248"
